"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"03/19/2023","46","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","46","16","23"
"03/20/2023","32","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","32","12","28"
"03/21/2023","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","36","8","17"
"03/22/2023","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","18","26"
"03/23/2023","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","22","11"
"03/24/2023","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","36","7","6"
"03/25/2023","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","6","13"
"03/26/2023","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","5","11"
"03/27/2023","43","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","43","7","12"
"03/28/2023","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","18","11"
"03/29/2023","32","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","32","7","16"
"03/30/2023","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","9","15"
"03/31/2023","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","6","11"
"04/01/2023","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","31","5"
"04/02/2023","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","2","12"
"04/03/2023","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","3","10"
"04/04/2023","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","6","10"
"04/05/2023","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","6","10"
"04/06/2023","43","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","43","13","10"
"04/07/2023","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","6","10"
"04/08/2023","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","6","10"
"04/09/2023","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","6","20"
"04/10/2023","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","6","19"
"04/11/2023","43","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","43","6","7"
"04/12/2023","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","7","16"
"04/13/2023","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","6","15"
"04/14/2023","43","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","43","9","14"
"04/15/2023","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","11","18"
"04/16/2023","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","11","17"
"04/17/2023","42","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","42","6","13"
"04/18/2023","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","12","11"
"04/19/2023","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","6","10"
"04/20/2023","45","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","45","6","10"
"04/21/2023","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","7","11"
"04/22/2023","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","6","13"
"04/23/2023","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","33","7","10"
"04/24/2023","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","36","9","9"
"04/25/2023","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","12","8"
"04/26/2023","46","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","46","16","15"
"04/27/2023","48","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","48","20","13"
"04/28/2023","50","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","50","29","18"
"04/29/2023","50","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","50","37","23"
"04/30/2023","45","PM10","BURBANK - MAPLE ST","53-071-0006","AQS","40","45","16"
"05/01/2023","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","16","15"
"05/02/2023","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","22","17"
"05/03/2023","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","34","22"
"05/04/2023","42","PM10","BURBANK - MAPLE ST","53-071-0006","AQS","38","42","21"
"05/05/2023","29","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","29","4","8"
"05/06/2023","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","6","10"
"05/07/2023","27","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","27","7","9"
"05/08/2023","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","8","10"
"05/09/2023","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","7","10"
"05/10/2023","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","18","10"
"05/11/2023","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","23","11"
"05/12/2023","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","29","15"
"05/13/2023","50","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","50","28","16"
"05/14/2023","42","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","42","19","10"
"05/15/2023","45","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","45","16","13"
"05/16/2023","46","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","46","19","14"
"05/17/2023","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","24","20"
"05/18/2023","65","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","47","39","65"
"05/19/2023","68","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","58","57","68"
